invoicedate,usd_to_nis
2018-01-01 00:00:00+00,3.47575
2018-01-02 00:00:00+00,3.45067
2018-01-03 00:00:00+00,3.44976
2018-01-04 00:00:00+00,3.44679
2018-01-05 00:00:00+00,3.433863
2018-01-06 00:00:00+00,3.433863
2018-01-07 00:00:00+00,3.433218
2018-01-09 00:00:00+00,3.4427
2018-01-10 00:00:00+00,3.427135
2018-01-11 00:00:00+00,3.42351
2018-01-12 00:00:00+00,3.3942
2018-01-13 00:00:00+00,3.3942
2018-01-15 00:00:00+00,3.400605
2018-01-16 00:00:00+00,3.43168
2018-01-17 00:00:00+00,3.439595
2018-01-18 00:00:00+00,3.416745
2018-01-19 00:00:00+00,3.421158
2018-01-20 00:00:00+00,3.421158
2018-01-21 00:00:00+00,3.42134
2018-01-22 00:00:00+00,3.414285
2018-01-23 00:00:00+00,3.40954
2018-01-24 00:00:00+00,3.4114
2018-01-25 00:00:00+00,3.3928
2018-01-28 00:00:00+00,3.392305
2018-01-30 00:00:00+00,3.418655
2018-02-01 00:00:00+00,3.428378
2018-02-02 00:00:00+00,3.4503
2018-02-03 00:00:00+00,3.4503
2018-02-04 00:00:00+00,3.449165
2018-02-05 00:00:00+00,3.459015
2018-02-06 00:00:00+00,3.481055
2018-02-07 00:00:00+00,3.49501
2018-02-08 00:00:00+00,3.517735
2018-02-09 00:00:00+00,3.51845
2018-02-10 00:00:00+00,3.51845
2018-02-11 00:00:00+00,3.528
2018-02-12 00:00:00+00,3.522455
2018-02-14 00:00:00+00,3.522595
2018-02-17 00:00:00+00,3.54365
2018-02-18 00:00:00+00,3.545925
2018-02-19 00:00:00+00,3.507365
2018-02-20 00:00:00+00,3.500055
2018-02-21 00:00:00+00,3.498905
2018-02-22 00:00:00+00,3.491055
2018-02-24 00:00:00+00,3.48678
2018-02-25 00:00:00+00,3.488141
2018-02-26 00:00:00+00,3.484382
2018-02-28 00:00:00+00,3.476755
2018-03-01 00:00:00+00,3.460315
2018-03-02 00:00:00+00,3.442442
2018-03-04 00:00:00+00,3.445605
2018-03-05 00:00:00+00,3.466095
2018-03-06 00:00:00+00,3.45957
2018-03-07 00:00:00+00,3.454625
2018-03-08 00:00:00+00,3.46065
2018-03-09 00:00:00+00,3.4436
2018-03-10 00:00:00+00,3.4436
2018-03-11 00:00:00+00,3.45185
2018-03-12 00:00:00+00,3.44257
2018-03-13 00:00:00+00,3.431675
2018-03-14 00:00:00+00,3.43549
2018-03-15 00:00:00+00,3.45295
2018-03-16 00:00:00+00,3.457415
2018-03-17 00:00:00+00,3.457415
2018-03-18 00:00:00+00,3.457975
2018-03-19 00:00:00+00,3.47314
2018-03-20 00:00:00+00,3.47638
2018-03-21 00:00:00+00,3.470713
2018-03-22 00:00:00+00,3.484553
2018-03-23 00:00:00+00,3.4862
2018-03-24 00:00:00+00,3.4862
2018-03-26 00:00:00+00,3.49724
2018-03-27 00:00:00+00,3.4873
2018-03-28 00:00:00+00,3.508
2018-03-29 00:00:00+00,3.50725
2018-03-31 00:00:00+00,3.4904
2018-04-01 00:00:00+00,3.503255
2018-04-03 00:00:00+00,3.532955
2018-04-04 00:00:00+00,3.537585
2018-04-05 00:00:00+00,3.529055
2018-04-06 00:00:00+00,3.53138
2018-04-07 00:00:00+00,3.53138
2018-04-08 00:00:00+00,3.526615
2018-04-09 00:00:00+00,3.522905
2018-04-10 00:00:00+00,3.502465
2018-04-11 00:00:00+00,3.50835
2018-04-12 00:00:00+00,3.51455
2018-04-13 00:00:00+00,3.5175
2018-04-14 00:00:00+00,3.5175
2018-04-15 00:00:00+00,3.522
2018-04-17 00:00:00+00,3.5152
2018-04-18 00:00:00+00,3.511599
2018-04-19 00:00:00+00,3.523
2018-04-20 00:00:00+00,3.529655
2018-04-21 00:00:00+00,3.529655
2018-04-22 00:00:00+00,3.53055
2018-04-23 00:00:00+00,3.54495
2018-04-24 00:00:00+00,3.56509
2018-04-25 00:00:00+00,3.59434
2018-04-26 00:00:00+00,3.58915
2018-04-27 00:00:00+00,3.588
2018-04-28 00:00:00+00,3.588
2018-04-29 00:00:00+00,3.58832
2018-04-30 00:00:00+00,3.59804
2018-05-01 00:00:00+00,3.61014
2018-05-02 00:00:00+00,3.62681
2018-05-03 00:00:00+00,3.61932
2018-05-04 00:00:00+00,3.61367
2018-05-05 00:00:00+00,3.61367
2018-05-06 00:00:00+00,3.622195
2018-05-07 00:00:00+00,3.60634
2018-05-08 00:00:00+00,3.624445
2018-05-09 00:00:00+00,3.58548
2018-05-10 00:00:00+00,3.566305
2018-05-11 00:00:00+00,3.576895
2018-05-12 00:00:00+00,3.576895
2018-05-13 00:00:00+00,3.5752
2018-05-14 00:00:00+00,3.593975
2018-05-15 00:00:00+00,3.598795
2018-05-16 00:00:00+00,3.58421
2018-05-17 00:00:00+00,3.589575
2018-05-19 00:00:00+00,3.59216
2018-05-20 00:00:00+00,3.5942
2018-05-21 00:00:00+00,3.57357
2018-05-22 00:00:00+00,3.565623
2018-05-23 00:00:00+00,3.572595
2018-05-24 00:00:00+00,3.56607
2018-05-25 00:00:00+00,3.561165
2018-05-26 00:00:00+00,3.561165
2018-05-27 00:00:00+00,3.559165
2018-05-28 00:00:00+00,3.57312
2018-05-30 00:00:00+00,3.569295
2018-05-31 00:00:00+00,3.563755
2018-06-01 00:00:00+00,3.558
2018-06-02 00:00:00+00,3.558
2018-06-03 00:00:00+00,3.561277
2018-06-04 00:00:00+00,3.565075
2018-06-05 00:00:00+00,3.56561
2018-06-06 00:00:00+00,3.57223
2018-06-07 00:00:00+00,3.572693
2018-06-08 00:00:00+00,3.56809
2018-06-09 00:00:00+00,3.56809
2018-06-10 00:00:00+00,3.574135
2018-06-11 00:00:00+00,3.575828
2018-06-13 00:00:00+00,3.589452
2018-06-14 00:00:00+00,3.616415
2018-06-15 00:00:00+00,3.626305
2018-06-16 00:00:00+00,3.626305
2018-06-17 00:00:00+00,3.625495
2018-06-18 00:00:00+00,3.64113
2018-06-19 00:00:00+00,3.63165
2018-06-21 00:00:00+00,3.620175
2018-06-22 00:00:00+00,3.605665
2018-06-23 00:00:00+00,3.605665
2018-06-24 00:00:00+00,3.611575
2018-06-25 00:00:00+00,3.619745
2018-06-26 00:00:00+00,3.63927
2018-06-28 00:00:00+00,3.65801
2018-06-29 00:00:00+00,3.656165
2018-06-30 00:00:00+00,3.656165
2018-07-01 00:00:00+00,3.660225
2018-07-02 00:00:00+00,3.6673
2018-07-03 00:00:00+00,3.65485
2018-07-05 00:00:00+00,3.63815
2018-07-06 00:00:00+00,3.6246
2018-07-07 00:00:00+00,3.6246
2018-07-08 00:00:00+00,3.62617
2018-07-09 00:00:00+00,3.62955
2018-07-10 00:00:00+00,3.63851
2018-07-11 00:00:00+00,3.6489
2018-07-12 00:00:00+00,3.63828
2018-07-13 00:00:00+00,3.638165
