trackid,track_name,composer,seconds,duracion,bytes,unitprice,albumid,album_title,artistid,artist_name,genreid,genre_name,mediatypeid,mediatype_name,last_update
1,For Those About To Rock (We Salute You),"Angus Young, Malcolm Young, Brian Johnson",343,05:43,11170334,0.99,1,For Those About To Rock We Salute You,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.380482+00
2,Balls to the Wall,,342,05:42,5510424,0.99,2,Balls to the Wall,2,Accept,1,Rock,2,Protected AAC audio file,2023-01-04 12:05:34.384101+00
3,Fast As a Shark,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",230,03:50,3990994,0.99,3,Restless and Wild,2,Accept,1,Rock,2,Protected AAC audio file,2023-01-04 12:05:34.385566+00
4,Restless and Wild,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",252,04:12,4331779,0.99,3,Restless and Wild,2,Accept,1,Rock,2,Protected AAC audio file,2023-01-04 12:05:34.387363+00
5,Princess of the Dawn,Deaffy & R.A. Smith-Diesel,375,06:15,6290521,0.99,3,Restless and Wild,2,Accept,1,Rock,2,Protected AAC audio file,2023-01-04 12:05:34.388873+00
6,Put The Finger On You,"Angus Young, Malcolm Young, Brian Johnson",205,03:25,6713451,0.99,1,For Those About To Rock We Salute You,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.390377+00
7,Let's Get It Up,"Angus Young, Malcolm Young, Brian Johnson",233,03:53,7636561,0.99,1,For Those About To Rock We Salute You,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.392989+00
8,Inject The Venom,"Angus Young, Malcolm Young, Brian Johnson",210,03:30,6852860,0.99,1,For Those About To Rock We Salute You,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.394371+00
9,Snowballed,"Angus Young, Malcolm Young, Brian Johnson",203,03:23,6599424,0.99,1,For Those About To Rock We Salute You,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.39543+00
10,Evil Walks,"Angus Young, Malcolm Young, Brian Johnson",263,04:23,8611245,0.99,1,For Those About To Rock We Salute You,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.396481+00
11,C.O.D.,"Angus Young, Malcolm Young, Brian Johnson",199,03:19,6566314,0.99,1,For Those About To Rock We Salute You,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.397552+00
12,Breaking The Rules,"Angus Young, Malcolm Young, Brian Johnson",263,04:23,8596840,0.99,1,For Those About To Rock We Salute You,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.399835+00
13,Night Of The Long Knives,"Angus Young, Malcolm Young, Brian Johnson",205,03:25,6706347,0.99,1,For Those About To Rock We Salute You,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.400993+00
14,Spellbound,"Angus Young, Malcolm Young, Brian Johnson",270,04:30,8817038,0.99,1,For Those About To Rock We Salute You,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.402051+00
15,Go Down,AC/DC,331,05:31,10847611,0.99,4,Let There Be Rock,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.403096+00
16,Dog Eat Dog,AC/DC,215,03:35,7032162,0.99,4,Let There Be Rock,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.404124+00
17,Let There Be Rock,AC/DC,366,06:06,12021261,0.99,4,Let There Be Rock,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.40517+00
18,Bad Boy Boogie,AC/DC,267,04:27,8776140,0.99,4,Let There Be Rock,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.406151+00
19,Problem Child,AC/DC,325,05:25,10617116,0.99,4,Let There Be Rock,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.408499+00
20,Overdose,AC/DC,369,06:09,12066294,0.99,4,Let There Be Rock,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.410086+00
21,Hell Ain't A Bad Place To Be,AC/DC,254,04:14,8331286,0.99,4,Let There Be Rock,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.41119+00
22,Whole Lotta Rosie,AC/DC,323,05:23,10547154,0.99,4,Let There Be Rock,1,AC/DC,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.412287+00
23,Walk On Water,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",295,04:55,9719579,0.99,5,Big Ones,3,Aerosmith,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.41332+00
24,Love In An Elevator,"Steven Tyler, Joe Perry",321,05:21,10552051,0.99,5,Big Ones,3,Aerosmith,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.415615+00
25,Rag Doll,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264,04:24,8675345,0.99,5,Big Ones,3,Aerosmith,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.416786+00
26,What It Takes,"Steven Tyler, Joe Perry, Desmond Child",310,05:10,10144730,0.99,5,Big Ones,3,Aerosmith,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.417824+00
27,Dude (Looks Like A Lady),"Steven Tyler, Joe Perry, Desmond Child",264,04:24,8679940,0.99,5,Big Ones,3,Aerosmith,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.418568+00
