invoicelineid,invoiceid,trackid,unitprice,quantity,line_total,last_update
1,1,2,0.99,1,0.99,2023-01-04 12:05:45.793418+00
2,1,4,0.99,1,0.99,2023-01-04 12:05:45.796257+00
3,2,6,0.99,1,0.99,2023-01-04 12:05:45.798589+00
4,2,8,0.99,1,0.99,2023-01-04 12:05:45.800178+00
5,2,10,0.99,1,0.99,2023-01-04 12:05:45.801403+00
6,2,12,0.99,1,0.99,2023-01-04 12:05:45.802602+00
7,3,16,0.99,1,0.99,2023-01-04 12:05:45.803741+00
8,3,20,0.99,1,0.99,2023-01-04 12:05:45.804766+00
9,3,24,0.99,1,0.99,2023-01-04 12:05:45.805769+00
10,3,28,0.99,1,0.99,2023-01-04 12:05:45.806883+00
11,3,32,0.99,1,0.99,2023-01-04 12:05:45.808618+00
12,3,36,0.99,1,0.99,2023-01-04 12:05:45.809739+00
13,4,42,0.99,1,0.99,2023-01-04 12:05:45.811152+00
14,4,48,0.99,1,0.99,2023-01-04 12:05:45.812549+00
15,4,54,0.99,1,0.99,2023-01-04 12:05:45.813831+00
16,4,60,0.99,1,0.99,2023-01-04 12:05:45.814945+00
17,4,66,0.99,1,0.99,2023-01-04 12:05:45.815976+00
18,4,72,0.99,1,0.99,2023-01-04 12:05:45.81697+00
19,4,78,0.99,1,0.99,2023-01-04 12:05:45.817972+00
20,4,84,0.99,1,0.99,2023-01-04 12:05:45.819027+00
21,4,90,0.99,1,0.99,2023-01-04 12:05:45.820079+00
22,5,99,0.99,1,0.99,2023-01-04 12:05:45.821132+00
23,5,108,0.99,1,0.99,2023-01-04 12:05:45.82216+00
24,5,117,0.99,1,0.99,2023-01-04 12:05:45.824332+00
25,5,126,0.99,1,0.99,2023-01-04 12:05:45.825451+00
26,5,135,0.99,1,0.99,2023-01-04 12:05:45.826461+00
27,5,144,0.99,1,0.99,2023-01-04 12:05:45.827454+00
28,5,153,0.99,1,0.99,2023-01-04 12:05:45.828449+00
29,5,162,0.99,1,0.99,2023-01-04 12:05:45.830021+00
30,5,171,0.99,1,0.99,2023-01-04 12:05:45.831322+00
31,5,180,0.99,1,0.99,2023-01-04 12:05:45.832387+00
32,5,189,0.99,1,0.99,2023-01-04 12:05:45.83343+00
33,5,198,0.99,1,0.99,2023-01-04 12:05:45.834464+00
34,5,207,0.99,1,0.99,2023-01-04 12:05:45.835444+00
35,5,216,0.99,1,0.99,2023-01-04 12:05:45.836445+00
36,6,230,0.99,1,0.99,2023-01-04 12:05:45.837445+00
37,7,231,0.99,1,0.99,2023-01-04 12:05:45.839662+00
38,7,232,0.99,1,0.99,2023-01-04 12:05:45.840817+00
39,8,234,0.99,1,0.99,2023-01-04 12:05:45.842244+00
40,8,236,0.99,1,0.99,2023-01-04 12:05:45.843437+00
41,9,238,0.99,1,0.99,2023-01-04 12:05:45.844474+00
